Who is historically recognised as the 'father of genetics' for his experiments on garden peas?,Gregor Mendel.
What is the term for a functional unit of inheritance that usually corresponds to a segment of DNA coding for a single protein?,Gene.
What term refers to the alternative forms of a gene that can exist at a specific locus?,Alleles.
The specific physical site of a gene on a chromosome is known as its _____.,Locus.
What is the term for an individual's genetic constitution at a particular locus?,Genotype.
What term describes the observable physical or clinical characteristics of an individual?,Phenotype.
An individual possessing two identical alleles at a given locus is described as being _____.,Homozygous.
An individual possessing two different alleles at a given locus is described as being _____.,Heterozygous.
"In a heterozygote, which type of allele masks the effect of the other allele at the same locus?",Dominant allele.
Under what genetic condition is the consequence of a recessive allele physically expressed?,When it is in homozygous form.
"Which Mendelian principle states that sexually reproducing organisms possess genes in pairs, but transmit only one member of the pair to each offspring?",Principle of segregation.
Mendel's principle of segregation directly describes the behavior of _____ during meiosis.,Chromosomes.
Which Mendelian law dictates that alleles at different loci are transmitted independently of one another?,Law of independent assortment.
Mendel's Law of Segregation is also known as his _____ law.,First.
Mendel's Law of Independent Assortment is also known as his _____ law.,Second.
What term describes a trait that is determined by a single gene?,Monogenic (or Mendelian) trait.
"In Mendel's experiments with pea plant height, what was the phenotype of the $F_{1}$ offspring from a cross between true-breeding tall and short plants?",All were tall.
What is the expected phenotypic ratio in the $F_{2}$ generation of a standard Mendelian monohybrid cross?,$3:1$.
What is the expected genotypic ratio in the $F_{2}$ generation of a standard Mendelian monohybrid cross?,$1:2:1$.
"In Mendelian genetics, what does the 'multiplication rule' state regarding independent trials?",The probability of a specific outcome in both trials is the product of their individual probabilities.
How is the 'addition rule' applied when calculating the frequency of heterozygotes in a population?,By adding the probabilities of the different ways a heterozygote can be formed ($pq + qp$).
Which meiotic event provides the biological basis for the Law of Segregation?,The separation of homologous chromosomes into different gametes.
What physical arrangement during Metaphase I of meiosis underlies the Law of Independent Assortment?,The random orientation of non-homologous chromosome pairs on the meiotic spindle.
What is the expected phenotypic ratio in the $F_{2}$ generation of a Mendelian dihybrid cross?,$9:3:3:1$.
"If two genes are located close together on the same chromosome, they are said to be _____.",Linked.
Under what condition can genes on the same chromosome still obey the Law of Independent Assortment?,If they are far enough apart for crossing-over to occur frequently between them.
What genetic mechanism can separate alleles that were previously together on the same chromosome during meiotic prophase?,Crossing-over.
"In Mendel's pea color experiment, which allele was found to be dominant?",Yellow seed color.
"In Mendel's pea shape experiment, which allele was found to be recessive?",Wrinkled seed shape.
What term describes the offspring of two different true-breeding varieties?,Hybrid.
"According to Mendelian principles, what is the probability that a heterozygous parent transmits a specific allele to a child?",$1/2$ (or $50\%$).
What type of cross is used to examine the simultaneous inheritance of two unrelated traits?,Dihybrid cross.
"What is the genotype of a human affected by Type II albinism, a rare recessive condition?",$aa$ (homozygous recessive).
Why can individuals with different genotypes have the same phenotype in Mendelian inheritance?,Because the dominant allele exerts the same effect in both homozygotes and heterozygotes.
Mendel's 'true-breeding' parental strains were always _____ for the trait of interest.,Homozygous.
The reappearance of a recessive trait in the $F_{2}$ generation disproved which theory of inheritance popular in Mendel's time?,Blending inheritance.
What term is used for a diagram that shows the phenotypes of family members across multiple generations for a specific trait?,Pedigree.
"In a pedigree, what geometric shape is conventionally used to represent a male?",Square.
"In a pedigree, what geometric shape is conventionally used to represent a female?",Circle.
Which meiotic division results in the production of haploid daughter nuclei from a diploid cell?,Meiosis I.
What occurs when the genomes of two haploid gametes combine?,Fertilisation (forming a diploid zygote).
How many gamete combinations are possible via independent assortment for an organism with $n$ pairs of chromosomes?,$2^{n}$.
"If the $A$ and $B$ loci are linked, how are the alleles $A1$ and $B1$ typically inherited?",Together as a unit.
What is the primary consequence of crossing-over during meiosis regarding genetic information?,It reassorts genes on individual chromosomes to generate new combinations.
"In Mendelian terms, a 'monohybrid cross' focuses on the inheritance of how many traits?",One.
What is the probability of two heterozygous parents ($Aa \times Aa$) producing a homozygous recessive offspring?,$1/4$ (or $25\%$).
Which generation in Mendel's experiments first showed the recessive phenotype after it 'disappeared'?,The $F_{2}$ generation.
What Latin-derived term describes marriages between blood relatives?,Consanguineous.
Why is there an increased risk of deleterious recessive traits appearing in consanguineous matings?,Related individuals are more likely to carry the same rare recessive mutations from a common ancestor.
A dominant mutant allele is one that alters the phenotype even if the individual also possesses a _____ allele.,Wild-type.
"In Mendel's $9:3:3:1$ ratio, which number represents the proportion of offspring showing both dominant traits?",$9$.
"In Mendel's $9:3:3:1$ ratio, which number represents the proportion of offspring showing both recessive traits?",$1$.
What concept explains why genes on the same chromosome might not be inherited together $100\%$ of the time?,Recombination (due to crossing-over).
How can geneticists determine the relative distance between two linked genes?,By measuring the frequency with which they are separated by crossovers.
A genotype of $Yy$ at the pea colour locus is termed _____.,Heterozygous.
"In a cross between $YY$ (yellow) and $yy$ (green) plants, what is the genotype of the $F_{1}$ offspring?",$Yy$.
The 'Law of Segregation' dictates that alleles separate during the formation of _____.,Gametes (sperm and eggs).
Mendel's experiments were replicable because he used _____ stocks that consistently produced the same traits.,True-breeding.
What is the specific phenotypic probability of a child being albino ($aa$) if both parents are carriers ($Aa$)?,$1/4$ (or $0.25$).
"In Mendelian probability, the 'independence principle' means the outcome of one reproductive event has _____ on the outcome of the next.",No effect.
Which meiotic division ensures that each gamete receives only one and only one copy of each chromosome?,Meiosis I.
What term is used to describe the collection of all of an organism's DNA sequences?,Genome.
"In Mendel's dihybrid crosses, alleles for seed colour and seed shape segregated _____.",Independently.
Which Mendelian principle is violated if two genes are located very close together on the same chromosome?,The Law of Independent Assortment.
What phenotypic ratio results from a cross between a heterozygote and a homozygous recessive individual for a single trait?,$1:1$.