Define the term 'homologous chromosomes' (homologs).,The maternal and paternal versions of each chromosome pair that contain very similar DNA sequences.
What constitutes the human genome in terms of DNA measurement?,A full set of chromosomes containing approximately $3.2 \times 10^{9}$ nucleotide pairs.
Term: Karyotype.,An ordered display of the full set of 46 human chromosomes.
"In a normal human male, which chromosome is inherited specifically from the father?",The Y chromosome.
How many pairs of autosomes are found in a standard human somatic cell?,22 pairs.
Define 'genes' as the functional units of heredity.,Segments of DNA containing instructions for making a particular protein or RNA molecule.
The process by which a diploid cell gives rise to four genetically distinct haploid gametes is called _____.,Meiosis
What physical structure marks the point where homologous chromosomes exchange genetic material during prophase I?,A chiasma (plural chiasmata).
Term: Crossing-over.,"The process where homologous chromosomes exchange genetic material, increasing genetic variation in gametes."
State Mendel’s Law of Segregation.,Maternal and paternal alleles for a trait separate during gamete formation and reunite randomly at fertilisation.
State Mendel’s Law of Independent Assortment.,Different pairs of alleles segregate independently of one another during the formation of gametes.
Under what physical condition do two genes on the same chromosome tend to be inherited together as a unit?,When the genes lie very close to each other on the chromosome.
The frequency with which two genes are separated by crossovers is used to construct a _____.,Genetic map
Define 'haplotype blocks'.,Combinations of polymorphisms or DNA markers that are inherited together as a unit.
What is the primary difference between euploid and aneuploid cells?,"Euploid cells have a multiple of 23 chromosomes, while aneuploid cells do not."
How many chromosomes are present in a somatic cell exhibiting trisomy?,47 chromosomes.
How many chromosomes are present in a somatic cell exhibiting monosomy?,45 chromosomes.
Term: Reciprocal translocation.,A chromosomal abnormality where breaks occur in two different chromosomes and material is mutually exchanged.
Which specific chromosomal rearrangement involves the fusion of the long arms of two acrocentric chromosomes at the centromere?,Robertsonian translocation.
Differentiate between a terminal deletion and an interstitial deletion.,"A terminal deletion occurs at the chromosome tip, while an interstitial deletion involves the loss of material between two internal breaks."
What defines a pericentric inversion?,A chromosomal inversion that includes the centromere within the reversed segment.
How does a paracentric inversion differ from a pericentric one?,A paracentric inversion does not include the centromere.
Concept: Isochromosome.,"Definition: A chromosome with two copies of one arm and no copies of the other, formed by faulty perpendicular division."
What structural event leads to the formation of a 'ring chromosome'?,The loss of both chromosome tips followed by the fusion of the remaining sticky ends.
Which chromosome abnormality is the leading known cause of pregnancy loss and intellectual disability?,Chromosome abnormalities (numerical or structural).
"The Philadelphia chromosome, associated with Chronic Myelogenous Leukaemia (CML), results from a translocation between which two chromosomes?",Chromosomes 9 and 22.
Define 'chromothripsis'.,A catastrophic event where a single chromosome is isolated in a micronucleus and undergoes massive DNA damage and rearrangement.
What is the primary effect of X-chromosome inactivation in female cells?,The compaction of one X chromosome into heterochromatin to equalise gene expression between the sexes.
Why do mitochondrial diseases exhibit exclusively maternal inheritance?,Because mitochondria are inherited solely through the egg cell from the mother.
Define 'genomic imprinting'.,The differential expression of genetic material depending on whether it is inherited from the father or the mother.
"In a genetic pedigree, what does a horizontal red line connecting a male and female signify?",Consanguinity (mating between blood relatives).
"In a genetic pedigree, what shape is traditionally used to represent a male?",A square.
Describe the transmission pattern of a Y-linked trait.,Exclusively male-to-male transmission.
Which specific trisomy results in Down syndrome?,Trisomy 21.
"Which chromosomal abnormality is designated by the karyotype $45,X$?",Turner syndrome.
What clinical condition is associated with Trisomy 18?,Edwards syndrome.
Which syndrome results from the inheritance of a microdeletion of the paternal chromosome 15?,Prader-Willi syndrome.
Which syndrome results from the inheritance of a microdeletion of the maternal chromosome 15?,Angelman syndrome.
Term: Uniparental disomy.,A condition where an individual inherits two copies of a chromosome from one parent and none from the other.
What is the result of 'isodisomy' in the context of autosomal recessive disease?,Offspring may express the disease if one parent contributes two copies of a homolog containing the mutation.
Why are mutations that occur in the soma called 'somatic mutations'?,Because they occur in body cells and are not passed on to the germ line.
Explain why a single mutation is typically not enough to change a normal cell into a cancer cell.,Multiple mutations and epigenetic changes are usually required over time to override cell proliferation controls.
What evidence suggests that most cancers originate from a single aberrant cell?,The site of chromosomal breakage and rejoining is identical in all leukemic cells within a given individual.
What substance is used as a 'spindle poison' to arrest cells in metaphase for chromosomal analysis?,Colchicine (or colcemid).
Define 'linkage phase' in genetics.,The specific arrangement of alleles for different genes on the same chromosome.
What unit is used to express the genetic map distance between two loci on a chromosome?,Centimorgans (or map units).
Why are males more frequently affected by X-linked recessive disorders than females?,Males have only one X chromosome and lack a backup normal copy of the gene.
"In the context of cytogenetics, what does 'chromosome painting' refer to?",Using fluorescently labelled DNA probes to distinguish chromosomes by their complementary sequences.
Differentiate between mitosis and meiosis regarding the genetic identity of daughter cells.,"Mitosis produces genetically identical cells, whereas meiosis produces genetically distinct cells."
What defines 'epigenetic inheritance'?,The transmission of gene expression patterns from parent to daughter cell without changes to the DNA sequence.
Which chromosome rearrangement results in 'derivative chromosomes'?,Reciprocal translocation.
Define 'aneuploidy'.,An abnormal chromosome count that is not a multiple of the haploid set of 23.
What is the specific chromosomal composition of Patau syndrome?,Trisomy 13.
Which type of inversion results in offspring with deletions or duplications after recombination?,Both pericentric and paracentric inversions (during meiosis).
What describes a 'balanced' translocation in a carrier?,The carrier has a normal complement of genetic material but it is rearranged.
"What is the karyotype for Klinefelter syndrome, according to Table 6-2?","$47,XXY$."
What is the expected frequency of chromosome abnormalities in live births?,Approximately 1 in every 150 live births.
Why does genomic imprinting not occur in experiments with amphibians?,"Because amphibians do not undergo genomic imprinting, allowing embryos with single-parent genomes to develop."
"What condition is characterised by a $47,XYY$ karyotype?",XYY syndrome (often phenotypically normal males).
How does a 'micronucleus' contribute to genetic instability in cancer cells?,It isolates a single chromosome where it is prone to massive DNA damage and rearrangement (chromothripsis).