What is the definition of a monogenic trait?,A trait or disorder attributable to a mutation in a single gene.
"Mendel's _____ states that for each characteristic, an organism inherits two copies of each gene, one from each parent.",Law of Segregation
"According to the Law of Segregation, what occurs to the two alleles of a gene during gamete formation?",They separate from one another so that each gamete carries only one allele.
Mendel's _____ states that genes at different loci are transmitted independently of one another.,Law of Independent Assortment
Term: Allele,Definition: One of the alternative forms of a specific gene at a given locus.
An individual possessing two identical alleles at a specific locus is said to be _____.,Homozygous
An individual possessing two different alleles at a specific locus is said to be _____.,Heterozygous
What is the difference between a genotype and a phenotype?,"Genotype is the specific set of alleles an individual carries, while phenotype is the visible or functional characteristic."
What inheritance pattern is characterised by a 'vertical' transmission of the disease phenotype through generations?,Autosomal dominant inheritance.
"In autosomal dominant inheritance, what is the recurrence risk for the offspring of one affected heterozygote and one unaffected parent?",$50\%$ (or $\frac{1}{2}$)
"True or False: In autosomal dominant inheritance, father-to-son transmission is impossible.",False.
What transmission pattern is typically seen in pedigrees for autosomal recessive disorders?,A horizontal pattern where the disease is observed in siblings but not usually in earlier generations.
"In autosomal recessive inheritance, what is the recurrence risk for the children of two heterozygous carriers?",$25\%$ (or $\frac{1}{4}$)
Term: Consanguinity,"Definition: The mating of blood relatives, which increases the likelihood of autosomal recessive disorders in offspring."
How does the sex ratio of affected individuals differ between autosomal dominant and autosomal recessive inheritance?,"In both patterns, males and females are affected in roughly equal proportions."
Why are X-linked recessive diseases much more common in males than in females?,Males are hemizygous for the X chromosome and lack a second X chromosome to mask a recessive mutation.
Term: Hemizygosity,"Definition: The state of having only one copy of a gene or chromosome, typically referring to X-linked genes in males."
"In X-linked recessive inheritance, can an affected father pass the disease gene to his son?","No, because a father only transmits his Y chromosome to his son."
What is the expected phenotype of the daughters of a father affected by an X-linked recessive disorder?,They will all be heterozygous carriers of the disorder.
Which inheritance model is suggested by a pedigree where an affected father passes the trait to all his daughters but none of his sons?,X-linked dominant inheritance.
Term: Holandric inheritance,"Definition: Inheritance of genes located on the Y chromosome, showing exclusive male-to-male transmission."
The phenomenon where a single gene mutation has multiple effects on different organ systems is called _____.,Pleiotropy
What is 'locus heterogeneity'?,The situation where mutations at different genetic loci can produce the same disease phenotype.
How does 'variable expression' differ from 'reduced penetrance'?,"Variable expression refers to the severity of the phenotype, while reduced penetrance means some individuals with the genotype show no symptoms at all."
Term: Germline mosaicism,"Definition: A condition where a parent carries a mutation in their germ cells but not in their somatic cells, potentially leading to multiple affected offspring."
What is allelic heterogeneity?,The occurrence of different types of mutations within the same gene causing the same disease.
"Which specific condition is a classic example of pleiotropy, affecting the eyes, skeleton, and cardiovascular system?",Marfan syndrome.
Term: Co-dominance,"Definition: A situation where the phenotype of a heterozygote is distinct from both homozygotes, showing the effects of both alleles."
What is a 'monohybrid cross'?,A breeding experiment that focuses on the inheritance of a single trait.
"In a pedigree, what symbol traditionally represents a female?",A circle.
"In a pedigree, what symbol traditionally represents a male?",A square.
"If two mutations produce the same phenotype, a _____ test can determine if they affect the same gene.",Complementation
The most common group of single-gene diseases in the world are genetic disorders of _____.,Haemoglobin
What does a 'vertical transmission' pattern in a pedigree usually rule out?,Autosomal recessive inheritance.
Which autosomal dominant disorder is caused by mutations in the fibrillin gene?,Marfan syndrome.
Why might a single-gene disorder appear in a child with no previous family history?,It is often caused by a new (de novo) mutation in the germ cell of a parent.
What is the primary characteristic of X-linked dominant inheritance regarding sex distribution?,It is about twice as common in females as in males (unless lethal in males).
Term: Wild type,Definition: The version of a gene or characteristic that is common and naturally occurring.
Tay-Sachs disease is an example of an _____ recessive monogenic disorder.,Autosomal
Cystic fibrosis is caused by mutations in a gene encoding a specialized _____ channel.,Chloride
What is the function of a 'modifier gene'?,It is a gene that alters the expression of a gene at another locus.
"In X-linked recessive pedigrees, 'skipped generations' occur when the disease gene is passed through _____.",Carrier females
Term: Locus,Definition: The specific physical location of a gene on a chromosome.
The situation where a heterozygote for a recessive mutation is clinically normal but shows symptoms under extreme conditions is termed _____.,Sickle-cell trait
Which condition is a well-known example of an X-linked recessive disorder affecting blood clotting?,Haemophilia A.
Which disorder is an X-linked dominant condition primarily seen in females because it is often lethal in males?,Incontinentia pigmenti type 1.
A single-nucleotide polymorphism (SNP) is a base-pair change present in at least _____% of the population.,$1\%$
Which autosomal dominant disorder is caused by mutations in the $FGFR3$ gene on chromosome $4p$?,Achondroplasia
What is the clinical consequence of 'anticipation' in genetic diseases?,An earlier age-of-onset of the disease in more recent generations of a family.
How many transcriptionally active copies of an 'imprinted' gene does a normal individual have?,Only one.
Term: STR (Short Tandem Repeat),Definition: A polymorphic DNA sequence containing multiple repeated short sequences used as markers in genetic mapping.
"In autosomal dominant inheritance, what is the recurrence risk for the offspring if both parents are affected heterozygotes?",$75\%$ (or $\frac{3}{4}$)
Which enzyme deficiency causes the autosomal recessive form of albinism described by Jorde?,Tyrosinase
"True or False: If neither parent has an autosomal dominant trait, none of their children will have it.",True (assuming no new mutations or germline mosaicism).
What is the significance of 'haplotype blocks' in human genetics?,They are segments of nucleotide sequence passed down intact from ancestors that help identify disease-associated alleles.
Which X-linked recessive disorder is characterised by progressive muscle degeneration?,Duchenne muscular dystrophy.
What is a 'genetic map'?,A representation showing the order of genes on a chromosome based on crossover frequencies.
The specific set of alleles forming the genome of an individual is their _____.,Genotype
"In the context of monogenic disorders, what does 'loss-of-function' usually describe?",A mutation that prevents the synthesis of a mature protein or results in a non-functional product.
Approximately how many autosomal genes are listed in the online compendium of Mendelian Inheritance in Man?,"Nearly $21,000$."
Which type of mutation results in the alteration of a single nucleotide to a different nucleotide?,Point mutation.
How many alleles of each gene does a haploid gamete contain?,One.
The increased frequency of a specific mutation in a subpopulation that arose from a small number of individuals is known as the _____.,Founder effect
"In autosomal dominant inheritance, affected individuals are typically _____ for the disease-causing allele.",Heterozygous
Which monogenic disorder is more prevalent in geographic regions where malaria is common due to natural selection?,Sickle-cell disease (or haemoglobin mutations).
Term: VNTR (Variable Number of Tandem Repeats),Definition: A type of polymorphism resulting from varying numbers of minisatellite repeats in a DNA region.